IFDM
Sigla;Código;Município;2006;2007;2008;2009;2010;
AC;1200013;Acrelândia;0,513813551;0,51092868;0,594461207;0,575561673;0,6107531391;
AC;1200054;Assis Brasil;0,552454867;0,539212345;0,51332299;0,535535006;0,5458865843;
AC;1200104;Brasiléia;0,487532482;0,54386483;0,612121545;0,603383256;0,5772197247;
AC;1200138;Bujari;0,519990571;0,553489987;0,524548037;0,525970462;0,5402024681;
AC;1200179;Capixaba;0,536115614;0,588621754;0,695154825;0,533670494;0,5291470169;
AC;1200203;Cruzeiro do Sul;0,570850958;0,614434472;0,67515065;0,61669934;0,5799672885;
AC;1200252;Epitaciolândia;0,524205142;0,543297953;0,454716516;0,553550538;0,5471619163;
AC;1200302;Feijó;0,454545355;0,470179297;0,690539999;0,486713905;0,4929476338;
AC;1200328;Jordão;0,395317334;0,481513096;0,443542392;0,479165049;0,3940516146;
AC;1200336;Mâncio Lima;0,530831205;0,55094203;0,555944109;0,559093479;0,5393006562;
AC;1200344;Manoel Urbano;0,420629179;0,474888965;0,490071946;0,521688704;0,5075436904;
AC;1200351;Marechal Thaumaturgo;0,45305495;0,484734042;0,451553501;0,55952388;0,4709688581;
AC;1200385;Plácido de Castro;0,494393039;0,542783216;0,559990322;0,565155291;0,5681919349;
AC;1200393;Porto Walter;0,433253758;0,430460839;0,442741193;0,463756496;0,4641275837;
AC;1200401;Rio Branco;0,714778412;0,692135854;0,667685696;0,710748683;0,7691087642;
AC;1200427;Rodrigues Alves;0,490513306;0,535446227;0,511846251;0,525309068;0,5365173231;
AC;1200435;Santa Rosa do Purus;0,439079159;0,415029166;0,280497501;0,405883001;0,4585419047;
AC;1200450;Senador Guiomard;0,539617062;0,549679927;0,576517152;0,574808537;0,5828486089;
AC;1200500;Sena Madureira;0,511142876;0,521241407;0,543803911;0,558568156;0,5632062442;
AC;1200609;Tarauacá;0,466526778;0,424180607;0,339620909;0,342083363;0,4632528275;
AC;1200708;Xapuri;0,502803117;0,50704731;0,51875261;0,54078207;0,5276778304;
AC;1200807;Porto Acre;0,523650188;0,53673726;0,544120672;0,569929034;0,5418310462;
AL;2700102;Água Branca;0,437498453;0,486863336;0,496237965;0,502590105;0,5073328605;
AL;2700201;Anadia;0,461376806;0,489395575;0,504448343;0,513469582;0,5433277389;
AL;2700300;Arapiraca;0,614309662;0,612336582;0,657092528;0,651242883;0,6749300084;
AL;2700409;Atalaia;0,547124217;0,512389691;0,488572599;0,514483461;0,5173350362;
AL;2700508;Barra de Santo Antônio;0,492574316;0,50630303;0,530771524;0,531308751;0,5438319034;
AL;2700607;Barra de São Miguel;0,521339545;0,546581822;0,503204163;0,523536047;0,5974562356;
AL;2700706;Batalha;0,440116909;0,45552628;0,59376253;0,467826685;0,5037078139;
AL;2700805;Belém;0,448726841;0,477587848;0,548794078;0,487905937;0,5155404136;
AL;2700904;Belo Monte;0,45303279;0,485985641;0,597472534;0,527260093;0,5485060524;
AL;2701001;Boca da Mata;0,581036161;0,594548617;0,502036814;0,659763765;0,6325801464;
AL;2701100;Branquinha;0,482012389;0,514378192;0,682248057;0,530354603;0,5501651503;
AL;2701209;Cacimbinhas;0,497885727;0,508662304;0,543690668;0,526454514;0,4708332983;
AL;2701308;Cajueiro;0,443517767;0,486502721;0,689641723;0,538029577;0,5395909456;
AL;2701357;Campestre;0,507685014;0,518326905;0,681445786;0,537693286;0,5737069728;
AL;2701407;Campo Alegre;0,480354451;0,515321716;0,651804849;0,528581348;0,5462512602;
AL;2701506;Campo Grande;0,369081806;0,419515484;0,855521133;0,539479099;;
AL;2701605;Canapi;0,536781546;0,455286369;0,631461423;0,487034557;0,5254046414;
AL;2701704;Capela;0,529293753;0,55830488;0,647724142;0,566392886;0,5842220237;
AL;2701803;Carneiros;0,388458793;0,418516398;0,688090724;0,468238511;0,4726785665;
AL;2701902;Chã Preta;0,463653975;0,538993603;0,59109491;0,574838299;0,5599007384;
AL;2702009;Coité do Nóia;0,463751139;0,512522774;0,658523197;0,566798307;0,5837548838;
AL;2702108;Colônia Leopoldina;0,470257456;0,482940858;0,578591263;0,472065622;0,5403384179;
AL;2702207;Coqueiro Seco;0,530018021;0,544917151;0,768165411;0,582776461;0,5782526681;
AL;2702306;Coruripe;0,595567944;0,611323311;0,770167725;0,59723501;0,6282961999;
AL;2702355;Craíbas;0,439793339;0,489826655;0,588805321;0,514648511;0,4865773555;
AL;2702405;Delmiro Gouveia;0,465649063;0,510132343;0,668908316;0,491716186;0,5293274907;
AL;2702504;Dois Riachos;0,42540664;0,443135703;0,755482043;0,514900974;0,5454958088;
AL;2702553;Estrela de Alagoas;0,477764915;0,449244283;0,580964007;0,532354349;0,5452258872;
AL;2702603;Feira Grande;0,468766369;0,477663714;0,683609085;0,502509838;0,5347496498;
AL;2702702;Feliz Deserto;0,505061192;0,559245139;0,763296374;0,581116115;0,5866404788;
AL;2702801;Flexeiras;0,502633129;0,515793186;0,689999958;0,514569771;0,52523175;
AL;2702900;Girau do Ponciano;0,437087613;0,422332638;0,531823041;0,486137631;0,5086353531;
AL;2703007;Ibateguara;0,527208866;0,536684328;0,523982162;0,488753306;0,4995090011;
AL;2703106;Igaci;0,450728689;0,478407438;0,510933516;0,518959165;0,5483296294;
AL;2703205;Igreja Nova;0,54955085;0,498042366;0,529041755;0,544862352;0,5513644337;
AL;2703304;Inhapi;0,385136133;0,392701892;0,531824966;0,370433704;;
AL;2703403;Jacaré dos Homens;0,456027961;0,481746176;0,492125138;0,493740859;0,4641379969;
AL;2703502;Jacuípe;0,486523623;0,493923062;0,528181694;0,50777895;0,5361580876;
AL;2703601;Japaratinga;0,510827932;0,519133384;0,518614772;0,529634731;0,5371643914;
AL;2703700;Jaramataia;0,444821534;0,471193511;0,509085993;0,545597641;0,5592178735;
AL;2703759;Jequiá da Praia;0,632055883;0,605488245;0,593989202;0,588195049;0,5781313368;
AL;2703809;Joaquim Gomes;0,463870665;0,50480979;0,523263871;0,508655303;0,5224461283;
AL;2703908;Jundiá;0,489097396;0,514282209;0,507196947;0,53153714;0,5183550931;
AL;2704005;Junqueiro;0,503834796;0,491035094;0,498728989;0,512946341;0,5556922823;
AL;2704104;Lagoa da Canoa;0,497465691;0,519734475;0,586377313;0,537120326;0,6161919657;
AL;2704203;Limoeiro de Anadia;0,433903933;0,495931006;0,423407398;0,506294899;0,5206910053;
AL;2704302;Maceió;0,743192303;0,728219273;0,745505123;0,760484238;0,7449055176;
AL;2704401;Major Isidoro;0,471061868;0,480854165;0,406726418;0,51278114;0,5496287408;
AL;2704500;Maragogi;0,49349096;0,507880628;0,530115532;0,520542702;0,5294493623;
AL;2704609;Maravilha;0,441429787;0,467569667;0,47578905;0,501203114;0,4948592726;
AL;2704708;Marechal Deodoro;0,525017344;0,563168702;0,633623046;0,640766631;0,7173435737;
AL;2704807;Maribondo;0,456787486;0,494306916;0,491949149;0,521252359;0,5444983347;
AL;2704906;Mar Vermelho;0,492944276;0,501113309;0,493358218;0,527984518;0,5337607562;
AL;2705002;Mata Grande;0,411425927;0,421458743;0,491529278;0,434136069;0,4515151742;
AL;2705101;Matriz de Camaragibe;0,501753418;0,529363564;0,515419438;0,513146068;0,536389664;
AL;2705200;Messias;0,536198919;0,541718128;0,555849742;0,56933977;0,5800329311;
AL;2705309;Minador do Negrão;0,48550512;0,501020804;0,508504032;0,508653163;0,552941544;
AL;2705408;Monteirópolis;0,405242481;0,40132097;0,412770899;0,35123525;0,4240810205;
AL;2705507;Murici;0,521936091;0,53739463;0,530032774;0,588988242;0,5425203898;
AL;2705606;Novo Lino;0,452235805;0,48584476;0,454860051;0,489033004;0,5953267845;
AL;2705705;Olho d'Água das Flores;0,422748572;0,435241368;0,489255371;0,487607946;0,5004071748;
AL;2705804;Olho d'Água do Casado;0,434235536;0,436137344;0,603003763;0,502062357;0,5272755777;
AL;2705903;Olho d'Água Grande;0,434897485;0,445168317;0,46425113;0,461035261;0,5174003867;
AL;2706000;Olivença;0,447089583;0,463466279;0,448437458;0,451497103;0,510800381;
AL;2706109;Ouro Branco;0,416109712;0,458225698;0,470500443;0,506030989;0,5232689909;
AL;2706208;Palestina;0,422793722;0,451337504;0,459276582;0,487119134;0,5260332411;
AL;2706307;Palmeira dos Índios;0,550447008;0,571479892;0,62010099;0,606500731;0,6386128721;
AL;2706406;Pão de Açúcar;0,443695353;0,464164868;0,475289058;0,490366719;0,514296762;
AL;2706422;Pariconha;0,43117806;0,478136979;0,508472966;0,512920807;0,5266709989;
AL;2706448;Paripueira;0,519312771;0,548126943;0,568107812;0,463765249;0,5386528753;
AL;2706505;Passo de Camaragibe;0,468223647;0,467725217;0,448858438;0,501831864;0,4956894188;
AL;2706604;Paulo Jacinto;0,452844054;0,486155337;0,527623795;0,558984595;0,5919758595;
AL;2706703;Penedo;0,600551224;0,562733092;0,592474621;0,577104313;0,5743844543;
AL;2706802;Piaçabuçu;0,485744302;0,486028127;0,515401816;0,522914147;;
AL;2706901;Pilar;0,643588367;0,639889688;0,650969472;0,622416171;0,6280715867;
AL;2707008;Pindoba;0,47428977;0,517446969;0,538085184;0,524020096;0,5190071891;
AL;2707107;Piranhas;0,47571113;0,501440225;0,541146856;0,560144802;0,5924958759;
AL;2707206;Poço das Trincheiras;0,441329635;0,455242109;0,427986199;0,463815365;0,4876761004;
AL;2707305;Porto Calvo;0,591016257;0,57547314;0,566269999;0,550469498;0,5574529541;
AL;2707404;Porto de Pedras;0,424649923;0,425457487;0,46878717;0,495801376;0,5390036161;
AL;2707503;Porto Real do Colégio;0,468463253;0,490206127;0,531399234;0,54830045;0,5869660481;
AL;2707602;Quebrangulo;0,476265263;0,482508909;0,502308328;0,534691637;0,5680886622;
AL;2707701;Rio Largo;0,597078482;0,565071884;0,609178703;0,554731352;0,6129231567;
AL;2707800;Roteiro;0,491310785;0,482382514;0,48487041;0,487908286;0,4858697168;
AL;2707909;Santa Luzia do Norte;0,535867681;0,596158805;0,62000297;0,59492183;0,6608787935;
AL;2708006;Santana do Ipanema;0,492111306;0,528919924;0,524963895;0,570494998;0,5920933363;
AL;2708105;Santana do Mundaú;0,458540872;0,461819766;0,490299576;0,513836333;0,5215086959;
AL;2708204;São Brás;0,535317148;0,530075527;0,442250583;0,540828713;0,5305917057;
AL;2708303;São José da Laje;0,555084049;0,584909561;0,533393589;0,517076892;0,5107422895;
AL;2708402;São José da Tapera;0,381348638;0,413302412;0,43017534;0,468648555;0,4978624773;
AL;2708501;São Luís do Quitunde;0,487155342;0,482213856;0,49966814;0,515401341;0,5335106101;
AL;2708600;São Miguel dos Campos;0,545585726;0,546746558;0,554160851;0,565362943;0,5543405201;
AL;2708709;São Miguel dos Milagres;0,478433643;0,50633153;0,536619364;0,523940007;0,5599527839;
AL;2708808;São Sebastião;0,453360049;0,44964079;0,508581489;0,525654082;0,593723455;
AL;2708907;Satuba;0,590149417;0,606635925;0,610750056;0,650572537;0,655624721;
AL;2708956;Senador Rui Palmeira;0,407148943;0,439944305;0,474258558;0,473449657;0,4830676893;
AL;2709004;Tanque d'Arca;0,451013333;0,411803948;0,446176221;0,51463853;0,4802271505;
AL;2709103;Taquarana;0,510174319;0,545341534;0,559416296;0,57468832;0,6026201148;
